Date,Region,Product,Sales,Units,Profit
2021-11,Central,Product D,65076.53,698,11232.98
2018-12,West,Product E,67778.15,665,11695.23
2022-05,West,Product C,64577.34,793,16788.24
2024-09,South,Product C,75521.44,817,18107.71
2020-01,North,Product C,34332.58,755,9617.05
2025-03,Central,Product C,51809.71,1062,13626.52
2021-05,South,Product A,48965.29,284,11949.51
2025-02,Central,Product C,74308.0,1114,17314.31
2023-11,South,Product E,45151.02,1028,11476.59
2021-10,South,Product D,52208.12,755,5933.45
2018-11,East,Product D,35361.9,1010,7542.02
2022-07,Central,Product A,54466.4,456,7211.5
2024-09,East,Product E,55618.78,590,10837.18
2024-01,North,Product A,74824.68,659,16435.78
2020-01,East,Product C,45383.22,668,11867.08
2022-01,Central,Product A,48883.5,924,6698.34
2023-02,East,Product E,62072.05,986,14118.06
2023-12,North,Product B,27101.72,788,8063.67
2020-02,South,Product A,54073.68,544,15308.13
2019-02,Central,Product A,47108.3,769,8684.53
2024-10,West,Product C,64074.26,696,6881.67
2020-07,East,Product D,34362.73,1055,8417.27
2021-03,North,Product D,40241.23,1008,9061.45
2019-04,Central,Product B,46728.44,999,8990.02
2020-10,East,Product E,60700.99,809,15767.49
2021-03,West,Product E,42240.67,1081,8278.12
2022-09,West,Product A,43317.46,1090,7982.17
2018-05,North,Product A,45494.59,639,7163.02
2023-08,South,Product E,49479.73,846,8751.25
2025-04,West,Product D,58446.18,493,17327.31
2023-03,East,Product E,47762.16,668,12779.49
2022-06,Central,Product C,26450.59,814,3578.91
2025-06,North,Product A,57729.09,1038,8270.55
2018-09,East,Product D,71307.56,685,17057.06
2025-04,East,Product C,39421.84,659,8175.89
2024-01,West,Product E,40808.17,722,11334.45
2020-01,South,Product D,48964.66,762,14019.46
2018-11,East,Product B,23771.8,548,3612.14
2018-05,South,Product B,42235.83,844,11413.87
2021-04,Central,Product E,52270.54,972,12148.84
2021-04,East,Product E,58758.92,728,15247.07
2021-04,West,Product A,46006.44,746,7673.96
2021-09,North,Product E,65127.81,1106,16317.34
2018-07,Central,Product C,49375.68,911,13618.52
2021-06,South,Product C,53444.42,769,5356.41
2018-02,Central,Product E,38268.56,676,4470.52
2020-03,North,Product A,29602.16,949,6713.8
2025-04,Central,Product C,44135.92,665,4576.26
2023-03,West,Product D,58357.68,659,15042.36
2019-08,West,Product B,61278.54,995,11931.84
2019-10,South,Product C,41201.78,1182,9456.42
2022-04,Central,Product D,48034.42,392,12204.66
2022-10,South,Product B,28279.79,360,3753.43
2020-05,Central,Product C,66827.8,1062,10335.05
2024-09,West,Product D,56462.6,848,15328.02
2024-12,East,Product A,22298.41,686,3660.25
2021-02,South,Product E,55306.44,742,13438.63
2019-06,West,Product C,55140.88,891,14015.95
2021-10,South,Product D,57707.53,748,16937.29
2019-08,North,Product A,28608.12,921,6055.84
2021-12,North,Product D,51921.57,663,7985.47
2025-04,East,Product E,48215.03,564,11383.15
2024-10,East,Product E,53869.95,893,13458.46
2021-05,North,Product D,86030.39,795,20689.71
2024-02,South,Product D,50937.54,643,14084.57
2020-06,North,Product E,47314.82,653,5987.37
2025-06,South,Product B,55278.37,826,6901.17
2018-06,North,Product A,50894.46,670,12306.9
2018-08,South,Product D,41308.05,1017,10862.57
2018-07,East,Product D,82338.27,1034,21141.71
2018-03,North,Product D,44457.18,840,4982.33
2025-03,West,Product E,85528.39,715,14180.9
2021-09,Central,Product E,49634.68,1228,10476.53
2019-06,East,Product E,33082.59,912,7809.0
2022-06,North,Product D,66968.79,745,15118.4
2025-08,West,Product D,96573.01,869,19584.93
2020-12,South,Product E,73530.64,491,16143.26
2020-12,South,Product C,62007.47,835,8813.27
2019-06,Central,Product A,56024.38,662,15788.04
2025-03,South,Product D,53459.61,335,9762.06
2021-02,Central,Product A,58154.0,725,10994.66
2025-05,West,Product B,54023.25,657,8774.98
2020-04,South,Product C,30579.78,1032,7788.51
2022-08,West,Product E,38495.7,647,10653.37
2019-02,South,Product E,64944.0,701,12091.11
2019-08,East,Product D,37424.19,904,4997.02
2021-01,Central,Product D,68217.64,782,17813.95
2020-04,West,Product C,45096.79,689,5024.57
2021-01,West,Product B,60989.6,783,9955.41
2022-03,West,Product B,42785.81,308,10148.52
2025-05,South,Product E,47996.3,1017,9748.97
2022-02,West,Product D,39009.74,901,5370.46
2018-08,Central,Product E,48457.34,794,7211.88
2020-02,North,Product D,52974.34,748,15030.7
2018-01,East,Product E,62587.77,1163,10622.07
2023-06,South,Product A,44982.39,841,7095.39
2024-03,West,Product B,24728.22,613,5774.5
2023-10,South,Product B,44536.96,950,12193.34
2018-01,North,Product E,33555.87,511,6014.37
2019-09,East,Product D,83182.87,1022,17396.65
2020-11,West,Product B,32172.7,862,7351.95
2023-06,North,Product C,59335.95,811,15987.09
2020-04,Central,Product E,32648.84,493,5869.1
2021-01,West,Product D,70764.09,912,18582.45
2021-07,Central,Product E,61383.93,856,9127.57
2024-03,East,Product D,47166.55,910,5673.39
2023-08,Central,Product D,57836.28,841,11940.42
2018-08,South,Product D,39247.01,1111,11591.41
2025-06,North,Product C,41895.17,902,6663.66
2021-06,Central,Product B,47842.31,959,5617.06
2022-06,North,Product D,51878.37,714,15059.29
2019-10,Central,Product D,39470.12,667,8770.11
2021-06,North,Product B,37140.88,588,9151.2
2022-12,South,Product A,53592.16,643,10201.46
2023-09,North,Product C,48796.11,1018,10104.29
2019-10,Central,Product C,64458.19,1242,9436.0
2024-06,Central,Product E,60004.71,490,14111.2
2021-06,Central,Product A,58534.75,1125,9063.06
2020-12,Central,Product A,25527.49,1116,4426.24
2023-10,North,Product D,68578.25,757,16041.86
2021-08,East,Product E,59469.37,488,14036.34
2021-08,Central,Product B,68415.03,558,20444.32
2018-02,North,Product C,46092.52,1145,5163.67
2021-08,South,Product D,51657.36,875,12964.32
2022-07,South,Product A,14966.41,700,1855.32
2018-05,West,Product D,61596.61,568,7304.48
2019-10,South,Product A,52331.41,1293,6900.46
2019-02,West,Product A,39769.48,565,7006.66
2018-02,East,Product A,22456.92,901,4028.69
2019-11,South,Product D,55479.51,1080,11834.62
2018-12,North,Product B,82878.61,936,19464.93
2020-06,East,Product D,41806.1,996,4372.03
2025-07,South,Product C,50422.72,798,11506.18
2020-01,South,Product A,20462.79,756,4527.89
2023-05,Central,Product D,12114.22,812,1566.06
2018-08,Central,Product B,26281.14,807,3048.43
2018-12,West,Product E,60886.5,708,6092.7
2021-07,South,Product D,30315.81,487,6453.88
2020-10,South,Product A,52230.01,732,15498.51
2024-11,North,Product C,38453.47,687,9164.37
2018-04,West,Product A,39008.7,659,5256.44
2020-12,West,Product B,29496.82,755,5119.23
2025-08,Central,Product E,41352.34,281,4293.96
2024-07,Central,Product B,35098.16,915,7854.6
2019-01,Central,Product B,35088.41,793,7354.25
2023-03,Central,Product D,39696.26,708,4979.5
2020-10,West,Product D,66373.27,906,14789.04
2020-05,South,Product E,54371.75,653,15689.85
2018-02,West,Product E,54877.65,766,8265.22
2019-09,West,Product C,13524.3,780,2569.95
2022-01,North,Product D,65162.93,773,7893.75
2021-08,North,Product E,61895.85,1045,16119.29
2019-12,North,Product E,13491.47,837,2595.61
2018-11,West,Product C,34296.34,907,4623.9
2018-05,Central,Product B,59106.97,1062,10425.76
2022-02,East,Product A,37079.24,623,4221.5
2025-05,South,Product B,38284.69,725,7460.43
2018-02,Central,Product E,50614.8,965,11302.28
2018-11,South,Product A,34327.86,406,6449.55
2025-05,South,Product D,42742.83,733,5962.37
2021-10,North,Product E,62907.1,683,17127.97
2018-12,North,Product B,31380.22,921,9278.48
2021-10,West,Product C,66871.98,640,10289.34
2025-08,Central,Product E,48584.42,782,11912.71
2020-03,South,Product C,43637.01,611,7971.75
2021-01,Central,Product A,21512.35,815,4582.23
2020-05,West,Product A,40664.33,895,7820.22
2019-04,North,Product D,46864.65,629,12185.47
2025-05,South,Product E,60797.56,1089,8366.04
2021-05,Central,Product A,47989.74,802,12102.92
2022-06,West,Product A,61607.49,1024,15479.06
2023-10,East,Product E,45686.13,611,10447.19
2018-10,East,Product B,28724.51,447,6868.71
2019-09,South,Product D,43757.09,563,7896.64
2023-11,West,Product E,41536.29,836,8971.7
2022-07,West,Product D,49700.37,666,10927.81
2019-07,West,Product D,66354.12,515,8612.76
2019-12,Central,Product D,60445.81,991,15578.28
2023-04,East,Product E,43523.06,622,8130.28
2019-06,West,Product A,72701.75,926,21786.5
2021-09,North,Product A,49050.66,1254,6653.75
2019-03,West,Product C,54556.7,524,16144.93
2018-03,Central,Product C,52113.29,446,8324.84
2019-07,South,Product C,65494.46,761,17577.84
2021-01,West,Product A,60407.84,779,14570.6
2025-06,West,Product B,51498.58,829,5222.26
2021-05,West,Product D,55929.64,685,12941.62
2020-12,Central,Product D,35689.07,609,9187.27
2018-10,South,Product A,42108.83,797,4738.53
2022-09,Central,Product D,66066.87,654,7748.65
2019-03,South,Product C,51004.86,903,14656.99
2021-06,South,Product D,58136.96,1050,11563.22
2019-09,South,Product E,33344.01,913,7104.48
2019-07,East,Product A,40889.82,1125,4815.51
2025-02,North,Product A,65181.02,343,16838.86
2022-01,North,Product B,48760.28,634,9602.81
2025-01,Central,Product B,33135.61,930,3960.12
2019-04,East,Product E,37360.7,1000,9616.42
2021-02,West,Product C,40291.39,788,10365.19
2023-04,Central,Product D,73741.81,854,18496.03
2019-03,Central,Product D,44592.9,902,8483.7
2022-10,West,Product B,77428.9,1203,9200.91
2018-03,West,Product A,68968.68,707,12027.21
2019-11,North,Product C,69642.09,686,20397.84
2018-12,South,Product D,55438.56,1073,12579.92
2022-07,North,Product B,57270.99,630,14813.27
2018-07,East,Product E,46016.8,896,13653.38
2020-09,West,Product A,48588.46,735,11978.37
2021-12,East,Product E,80937.87,586,9444.87
2020-08,North,Product D,37109.9,1028,11046.99
2019-09,Central,Product B,32164.83,748,3297.59
2020-01,East,Product A,42140.05,548,12418.31
2025-08,Central,Product A,52526.91,1063,12714.06
2021-08,North,Product C,54150.64,946,8816.38
2025-04,South,Product C,51046.69,1008,7599.22
2020-04,South,Product A,41520.73,717,7041.43
2021-11,South,Product B,32868.04,1202,7081.42
2019-05,Central,Product D,56055.95,795,12715.08
2024-12,Central,Product B,67920.11,575,7738.02
2021-03,North,Product D,58800.41,705,9164.35
2023-03,East,Product D,44960.31,886,7736.57
2019-09,East,Product A,65430.24,536,18821.73
2024-04,North,Product A,59520.82,1021,9050.58
2018-06,East,Product C,35505.31,830,6725.1
2021-02,West,Product E,17409.96,969,5142.21
2024-06,East,Product D,49259.35,739,5193.66
2025-03,North,Product C,62651.21,899,18567.3
2024-06,North,Product C,58540.39,1246,13289.71
2019-02,Central,Product E,48201.91,756,5264.84
2020-09,West,Product A,61181.06,622,13445.25
2023-08,West,Product B,64254.61,1142,17892.37
2022-07,Central,Product A,41628.36,461,6392.26
2022-02,Central,Product E,36089.7,847,4286.43
2023-01,North,Product D,42231.31,848,11914.94
2021-10,North,Product C,47938.27,990,10614.39
2022-03,West,Product A,34783.72,956,7042.75
2020-04,West,Product D,82564.14,764,23952.37
2020-10,East,Product A,84363.26,821,9633.14
2020-01,South,Product A,51592.68,706,14522.1
2024-11,West,Product B,28905.24,783,6421.47
2024-12,North,Product E,67385.23,824,7405.59
2018-08,East,Product D,45361.86,649,11817.54
2022-01,South,Product C,41288.33,970,10885.31
2019-09,East,Product C,66140.11,804,13142.66
2018-11,East,Product C,44013.32,669,7874.65
2019-07,West,Product E,61580.32,1106,9968.29
2021-09,South,Product D,42754.08,829,6478.16
2025-03,North,Product D,39375.67,868,6960.35
2020-12,South,Product E,46833.05,602,11719.3
2024-04,South,Product C,57678.86,766,13480.39
2024-02,South,Product C,48521.18,803,11024.94
2024-01,North,Product D,56774.49,585,14091.22
2021-02,East,Product B,49501.55,758,7871.15
2023-05,Central,Product B,47380.43,502,12477.38
2021-02,West,Product E,40306.59,1155,9455.66
2024-01,Central,Product B,28854.59,892,5102.87
2023-07,West,Product D,47985.37,962,7858.73
2021-12,South,Product C,73784.7,955,17537.22
2021-03,South,Product D,33414.43,757,9289.86
2023-05,West,Product C,50743.68,767,11538.12
2021-07,East,Product C,66654.54,563,14741.04
2020-10,West,Product D,35927.34,828,4795.29
2022-02,Central,Product C,33278.78,819,3988.81
2021-10,East,Product C,46118.06,1119,7279.69
2021-01,South,Product D,60454.32,733,13335.53
2024-01,North,Product E,26905.0,502,4522.12
2023-08,Central,Product E,89493.87,438,11962.41
2022-05,East,Product C,65933.51,706,15942.9
2025-01,West,Product E,50916.73,898,8628.12
2025-08,Central,Product C,54866.0,728,7761.44
2019-05,East,Product D,34272.14,559,8859.49
2019-07,Central,Product E,51271.74,783,12416.83
2019-07,East,Product E,24671.57,1028,4729.37
2019-09,East,Product D,52420.37,721,10135.81
2018-12,North,Product C,55656.51,794,10946.6
2023-10,South,Product D,36414.02,669,9189.43
2019-03,East,Product C,46672.6,934,11441.47
2022-05,East,Product B,81655.32,566,17823.83
2018-07,Central,Product C,47039.92,769,12738.05
2024-09,North,Product A,34651.58,641,5626.72
2023-07,East,Product E,84998.67,838,24248.12
2024-08,South,Product E,83596.15,892,19134.66
2024-04,South,Product A,36584.75,663,10664.07
2021-11,East,Product C,48144.07,728,10908.55
2019-03,Central,Product E,62006.14,950,14367.33
2018-01,West,Product C,38494.18,842,7603.59
2021-10,West,Product C,38113.7,738,9972.34
2021-09,South,Product E,50452.86,921,8068.08
2021-04,North,Product B,59888.69,987,6590.46
2023-06,South,Product E,33475.07,927,9127.99
2023-07,East,Product E,67254.44,855,14109.72
2020-06,Central,Product E,25206.22,1040,5786.43
2025-02,North,Product B,77007.67,1047,8806.22
2020-08,South,Product B,62650.59,911,16338.75
2019-10,West,Product E,53394.51,885,9626.45
2020-07,South,Product B,58343.26,962,9002.91
2022-01,North,Product A,40607.15,803,6303.61
2021-02,North,Product B,18898.69,714,5444.52
2023-04,Central,Product D,45905.37,644,7073.04
2020-03,South,Product D,62877.7,830,18146.3
2024-11,North,Product D,38761.9,868,4204.05
2020-05,North,Product D,71341.22,985,7196.38
2019-11,Central,Product E,47472.4,839,7390.88
2018-11,North,Product D,34169.19,1011,4136.97
2024-11,East,Product D,13621.79,793,3720.98
2021-11,South,Product C,42377.9,770,10743.37
2024-10,Central,Product E,74324.0,675,12949.64
2021-02,East,Product A,59722.06,951,6401.47
2018-09,West,Product B,52074.48,732,10083.22
2023-05,West,Product E,36822.76,517,4110.1
2022-06,South,Product E,61112.37,697,6290.83
2021-01,South,Product A,46571.0,601,9247.74
2019-05,West,Product D,49711.09,747,14550.43
2022-12,South,Product A,65804.19,655,16752.71
2025-08,South,Product D,60092.92,918,7454.01
2018-06,Central,Product A,51527.84,1109,8740.11
2018-12,East,Product E,52471.41,810,14136.44
2024-01,East,Product A,26714.34,957,3777.91
2022-11,West,Product C,54681.04,829,12065.83
2024-05,West,Product D,50313.3,846,14719.34
2020-04,North,Product A,40068.04,680,5135.14
2020-02,North,Product B,32942.88,612,9761.99
2023-12,West,Product D,66842.96,903,19349.64
2025-04,West,Product A,54950.98,923,6178.72
2018-05,West,Product D,24664.12,656,6220.73
2023-01,South,Product E,51615.43,882,14748.18
2023-02,South,Product B,47447.31,537,10067.13
2018-06,Central,Product D,54524.29,937,6946.38
2024-03,Central,Product B,43561.33,917,12725.37
2019-04,West,Product C,11141.81,790,3237.85
2023-02,North,Product D,43643.35,476,9545.33
2022-07,South,Product B,37663.53,1063,9026.52
2021-07,Central,Product B,48616.49,880,13167.5
2023-05,East,Product A,53482.34,559,13601.92
2025-02,West,Product A,56951.65,909,9989.15
2020-04,South,Product C,50904.83,535,13319.51
2019-10,Central,Product C,49703.76,702,11555.47
2018-10,West,Product A,49892.0,923,10105.33
2023-11,North,Product C,71294.05,679,20225.07
2025-07,South,Product A,39730.55,958,8455.25
2025-07,South,Product D,37940.41,949,11050.68
2019-10,South,Product E,44531.76,507,10858.27
2022-08,East,Product E,74258.19,820,11621.35
2022-12,South,Product E,71165.76,718,13896.34
2019-03,South,Product D,40155.36,641,6390.28
2021-10,West,Product A,28913.68,613,7977.26
2018-01,East,Product C,42821.49,991,10222.5
2019-12,South,Product D,23321.19,863,4315.48
2023-09,Central,Product A,39864.38,806,11744.67
2018-07,Central,Product E,64924.73,767,7166.4
2023-08,West,Product D,60190.6,570,14950.1
2023-09,Central,Product B,34065.54,560,8261.72
2020-03,East,Product A,61750.86,749,16137.89
2021-03,Central,Product E,44697.57,592,8174.91
2021-06,South,Product C,51998.86,450,7995.83
2018-10,North,Product A,26173.03,958,6357.03
2019-09,Central,Product A,79935.01,1421,13897.19
2025-04,South,Product C,45883.4,844,5736.57
2022-09,North,Product B,41960.61,908,7094.21
2018-06,West,Product D,61060.6,1028,11422.29
2023-04,North,Product A,33624.49,722,8649.6
2023-08,South,Product A,49095.67,890,7216.8
2022-11,Central,Product C,54596.15,1168,11364.02
2023-05,Central,Product C,34445.73,790,10068.58
2023-02,East,Product C,35054.12,744,9571.85
2019-08,West,Product D,60402.18,721,14166.76
2023-12,East,Product B,51046.2,672,8041.13
2024-03,Central,Product C,60144.65,772,11193.4
2020-04,Central,Product C,39895.65,753,6650.31
2025-02,Central,Product C,47661.53,690,13768.93
2019-01,West,Product C,57100.59,1067,17020.11
2019-12,South,Product B,56073.71,791,6763.85
2022-10,Central,Product D,72703.97,677,17515.18
2021-05,North,Product C,38042.86,807,8411.14
2025-05,East,Product B,64226.7,542,18863.86
2021-07,East,Product E,76485.64,674,14654.99
2023-06,Central,Product B,36426.28,1091,7749.04
2024-01,North,Product A,25283.03,833,2538.51
2023-08,North,Product C,46776.34,855,10174.66
2020-06,North,Product E,46559.14,791,10084.02
2022-01,North,Product D,61368.58,1091,15212.14
2018-06,North,Product B,49646.72,765,5884.38
2025-01,North,Product D,53913.34,859,10919.89
2020-03,South,Product C,76243.76,1076,17348.33
2021-06,South,Product D,58807.07,574,15505.89
2022-04,North,Product A,46305.35,939,8564.37
2023-02,South,Product A,41299.2,847,11989.08
2018-10,South,Product C,22587.88,789,5813.08
2018-03,South,Product A,64663.52,649,11995.03
2018-06,East,Product A,62800.8,722,17775.86
2021-01,North,Product B,46537.0,1090,10519.66
2022-12,South,Product D,32695.64,822,8396.16
2019-06,South,Product C,30627.33,885,6678.18
2018-07,Central,Product C,61897.54,796,7494.47
2022-07,East,Product B,61059.37,768,7472.21
2020-05,Central,Product A,58140.57,592,16066.45
2021-11,West,Product C,45030.37,677,7293.18
2022-12,East,Product B,17827.96,906,3044.26
2022-04,North,Product E,58233.26,749,16920.43
2020-12,South,Product A,60614.55,801,16685.0
2025-01,Central,Product A,54623.91,368,14141.97
2025-03,North,Product D,56301.42,921,10575.78
2025-02,North,Product E,15175.54,586,3708.69
2019-11,Central,Product A,59293.5,882,12236.86
2019-06,North,Product A,73583.63,683,20333.55
2018-10,West,Product C,51586.24,494,11428.96
2024-06,East,Product D,53877.83,807,9856.8
2020-09,North,Product C,37296.32,1143,9350.89
2020-05,South,Product B,65228.42,751,14760.13
2021-12,Central,Product A,61364.94,798,11525.51
2025-04,South,Product A,42907.23,543,11976.91
2018-07,South,Product A,65415.42,864,15349.68
2018-03,Central,Product E,60890.05,611,16824.69
2022-06,West,Product A,68667.47,826,18147.28
2024-08,North,Product C,44184.83,665,9116.01
2020-05,East,Product C,37999.42,787,6747.38
2019-06,East,Product B,62726.46,350,18417.32
2025-08,West,Product A,49451.06,871,10022.43
2024-07,West,Product E,21851.71,923,3147.13
2022-06,East,Product D,76425.33,743,17680.69
2025-07,East,Product B,46865.69,1222,4736.37
2023-01,North,Product D,56859.21,1091,14578.25
2021-09,South,Product D,56146.44,627,12582.12
2020-05,East,Product D,52263.05,776,13065.53
2019-05,East,Product E,61761.91,862,13325.83
2025-02,South,Product D,77139.6,756,11894.04
2018-08,East,Product A,38628.72,662,7145.16
2024-04,South,Product D,55689.21,1121,12080.86
2022-02,West,Product C,57661.88,1006,14948.74
2023-02,North,Product C,52577.59,910,8670.17
2021-09,West,Product E,34800.26,940,7623.37
2019-10,South,Product E,58284.5,925,14697.62
2023-10,West,Product B,35758.64,1086,6667.89
2018-01,Central,Product E,45010.44,898,9518.24
2021-10,South,Product A,60061.11,741,17972.18
2019-06,South,Product C,58879.77,979,17278.43
2020-03,West,Product D,67420.98,637,17619.33
2024-02,East,Product E,86741.9,564,13948.62
2019-01,North,Product C,49410.39,773,12686.0
